id	comments	Missing_or_Delivery	Tasty	Positioning	Advice	Promotion_react	Valuation	Gratitude	Advocating	Complain	Junk
124149619252_10152262999499253	Steve. You. Jerk. Just because that lady thought I was the dude who orders vegetarian burritos doesn't make me the guy who orders vegetarian burritos. I just have a doppelgänger who doesn't know how to order food right.	0	0	0	0	0	0	0	0	0	1
124149619252_228303190552746	"Thanks chipotle!! After seeing the movie food Inc. I vowed not to eat fast food, over a year ago I discovered you and your food is fast, but it isn't fast food. Thank you for providing food with integrity!! And opening a new Burlington MA store right near my work!!!"	1	0	0	0	0	0	1	0	0	0
124149619252_10151086390274253	CRAP!  I've tried to avoid all of the news pages so that I would be surprised with the results when I watch the match tonight!!! Where was the spoiler alert?  I still love Chipotle and Misty! :)	0	0	0	0	0	0	0	1	0	0
124149619252_261338423981855	"Thank you Chipotle, while other fast food companies are sticking their nose in social issues they should stay out of, your company is taking real steps to fix our broken food production industry "	0	0	1	0	0	0	1	0	0	0
124149619252_10151024826814253	"Bowl with brown rice, black beans, carnitas, mild salsa, corn, sour cream (or cheese depending on mood), and lettuce."	0	1	0	0	0	0	0	0	0	0
124149619252_10153041044599253	"That's great... changing tables are cool, too! C'mon Chipotle! Stop making me change my baby in the car!"	0	0	0	0	0	0	0	0	1	0
124149619252_10152883478794253	Never liked the food & now I hate what you allowed your establishment to represent. #isupportThinBlueLine	0	0	0	0	0	0	0	0	1	0
124149619252_153487264707094	"What wonders you create Shiny little tin foil I open you up and surprise There's a tasty burrito there just for me What power you have, little tin foil I bow to you"	0	1	0	0	0	0	0	0	0	0
124149619252_10153246130479253	"This is a great step, Chipotle  Thank you..    However, what about the GMO laden feed that is fed to the chicken and pigs?  That still makes it's way into our bodies.  When will you stop serving that poisoned meat?"	0	0	1	1	0	0	1	0	0	0
124149619252_10152407734029253	Moms won't tolerate corporate cowardice when it endangers our children and families. #GunSense #BurritosNotBullets	0	0	1	0	0	0	0	1	0	0
124149619252_10152406485254253	I'm disappointed that you are not including any Mexican American authors and will no longer eat there.	0	0	0	0	0	0	0	0	1	0
124149619252_454413931302356	"Too bad your company has seen fit to get involved in politics. I have enjoyed the burritos, and enjoy having them made to order, but now that you have pulled your sponsorship from the Boy Scouts of America because of someone's political agenda, I will now take my business elsewhere. I am also encouraging all of my friends and family to avoid your restaurants as well. I am sorry you have taken this stance."	0	0	1	0	0	0	0	0	1	0
124149619252_10151024826814253	"Burrito: quesadilla style, double wrap, steak, brown rice, pinto  beans, corn, lettuce. Guacamole on the side."	0	1	0	0	0	0	0	0	0	0
124149619252_10151058843154253	What makes it so special is it looks like it makes its own power.  Where can I find the answer?  Maybe I could ask at one of the 2 Chipolte Mexican Grills in Rochester MN.	0	0	0	0	0	0	0	1	0	0
124149619252_10151024826814253	"Veggie bowl: brown rice, black beans, veggies, poco, corn, guacamole, lettuce. My husband gets the same. $13.53"	0	1	0	0	0	0	0	0	0	0
124149619252_10150262089049253	I loveeeee chipotle.... But that one I go to that is two block from my home.... There is one lady in particular she is so mean she gets upset is we ask for litle extra hot sauce or rice.. We don't mind paying for it :( 	0	0	0	0	0	0	0	1	1	0
124149619252_10152406485254253	Way to go Chipotle! Going to have dinner tonight to show my support of your decision.  Common sense won!	0	0	1	0	0	0	0	1	0	0
124149619252_135356053201187	Pretty sure the racist comment didn't need to be aired and the guy should be kicked off uncalled for NBC!	0	0	0	0	0	0	0	0	0	1
124149619252_185864848093833	"More companies need to be more like Chipotle. I just opt out of eating meat altogether because the whole process just disgusts me, however the majority of people in the US don't. Glad to see a big restaurant chain being an example of caring about the health of Americans."	0	0	1	0	0	0	0	1	0	0
124149619252_10153246130479253	GMOs are 100% SAFE. How about serving foods and beverages with less added sodium and sugar? Now THAT would be a healthy change!	0	0	1	1	0	0	0	0	0	0
124149619252_10151839071994253	"Oh and for your title: ""Wir haben jetzt in Frankfurt geöffnet"" That's probably, what you mean. Hard German grammar"	0	0	0	0	0	0	0	0	0	1
124149619252_10151024826814253	"any bowl with all the goods....brown rice, black beans, sour cream, cheese, veggies, hot salsa and guac!!! YUM!!!!!"	0	1	0	0	0	0	0	0	0	0
124149619252_100721619944214	"YO!!!! $2.00 for extra chicken....for my chicken bowl??!?!!?! I mean....what kind'of chicken is this anyways?? It's chicken for crying out loud!!! Jeeeez-man!!! It's freak'n- -chicken-on-the-go!!! When the hell did chicken become the lobster of the food industry?? ...and the first time I tasted lobster...it wasn't even that good! Dayaaaaaammmmnnnn!!!! Yo I cant do Chipotle' like I use to, because even though it's good-to-go....it's still just a burrito....or a burrito in a bowl...without the tortilla.  That's my 2 cents! Make it ez! Keep it ez!"	0	0	0	0	0	0	0	0	1	0
124149619252_10153240834269253	"Dear Chipotle: Because of your recent stand against GMO foods, I will not be returning to your business.  Because you have given into the forces of science denial, you have joined the dark side, and I can't support that."	0	0	1	0	0	0	0	0	0	0
